paragraph_id,label,number_of_sentences,mean_sentence_length,median_sentence_length,standard_deviation_sentence_length,coefficient_of_variation_sentence_length,minimum_sentence_length,maximum_sentence_length,mean_word_length,median_word_length,standard_deviation_word_length
pride_and_prejudice_TFamil_P41,AI,1,11.0,11.0,0.0,0.0,11,11,4.818181818181818,4.0,1.849726359034164
pride_and_prejudice_TFamil_P42,Human,1,31.0,31.0,0.0,0.0,31,31,4.645161290322581,4.0,1.9100479152370917
pride_and_prejudice_TFamil_P42,AI,1,30.0,30.0,0.0,0.0,30,30,4.966666666666667,4.5,2.6138519893487127
pride_and_prejudice_TFamil_P43,Human,5,24.8,23.0,19.630588376307013,0.7915559829156054,1,50,4.451612903225806,4.0,2.3291796933050217
pride_and_prejudice_TFamil_P43,AI,5,22.8,20.0,18.79787222001469,0.8244680798252056,1,52,4.728070175438597,4.0,2.443340708873163
pride_and_prejudice_TFamil_P44,Human,2,13.0,13.0,12.0,0.9230769230769231,1,25,4.04,4.0,2.087678136111982
pride_and_prejudice_TFamil_P44,AI,2,12.5,12.5,11.5,0.92,1,24,4.333333333333333,4.0,2.0138409955990952
pride_and_prejudice_TFamil_P45,Human,4,7.25,5.0,7.013380069552769,0.967362768214175,1,18,4.5,4.0,2.718980901524897
pride_and_prejudice_TFamil_P45,AI,4,7.25,5.0,7.013380069552769,0.967362768214175,1,18,4.535714285714286,4.0,2.731851058180448
pride_and_prejudice_TFamil_P46,Human,2,7.5,7.5,6.5,0.8666666666666667,1,14,4.285714285714286,4.0,2.575393768188564
pride_and_prejudice_TFamil_P46,AI,2,7.5,7.5,6.5,0.8666666666666667,1,14,4.285714285714286,4.0,2.575393768188564
pride_and_prejudice_TFamil_P47,Human,2,21.5,21.5,12.5,0.5813953488372093,9,34,4.534883720930233,4.0,2.1169178693442374
pride_and_prejudice_TFamil_P47,AI,2,21.0,21.0,10.0,0.47619047619047616,11,31,4.690476190476191,4.0,2.355218069350482
pride_and_prejudice_TFamil_P48,Human,7,20.285714285714285,19.0,11.106166700329606,0.5474870908613186,3,39,4.73943661971831,4.0,2.402110508255243
pride_and_prejudice_TFamil_P48,AI,7,18.285714285714285,18.0,8.987519691443332,0.4915049831258072,4,30,5.046875,4.0,2.6512360766961134
pride_and_prejudice_TFamil_P49,Human,6,18.333333333333332,16.0,11.440668201153674,0.624036447335655,1,36,4.745454545454545,4.0,2.570590182097784
pride_and_prejudice_TFamil_P49,AI,6,15.666666666666666,13.5,8.93805845186128,0.5705143692677414,1,29,5.202127659574468,5.0,2.668092741514068
pride_and_prejudice_TFamil_P50,Human,6,19.333333333333332,17.5,11.294049564064943,0.584174977451635,7,37,4.905172413793103,4.0,2.4317527674493604
pride_and_prejudice_TFamil_P50,AI,6,18.166666666666668,16.5,9.788031240017348,0.5387907104596705,8,34,4.944954128440367,4.0,2.5335722410557184
pride_and_prejudice_TClass_P1,Human,15,17.133333333333333,16.0,13.894203427648844,0.8109457253491543,1,49,4.850980392156862,4.0,2.9441449072539974
pride_and_prejudice_TClass_P1,AI,12,22.0,18.5,17.406895185529212,0.791222508433146,1,49,5.003787878787879,4.0,3.1400372827122247
